id,title,provider,department,description,level,duration,students,rating,url,tags
1067,Optimize! Make Best Decisions with Microsoft Excel,Udemy,Business Finance,Course: Optimize! Make Best Decisions with Microsoft Excel. Category: Business Finance. Level: Expert Level. Duration: 1 hour.,Expert Level,1 hour,28,3,https://www.udemy.com/optimize/,[]
1068,Understanding The Stock Market: For Beginners,Udemy,Business Finance,Course: Understanding The Stock Market: For Beginners. Category: Business Finance. Level: Beginner Level. Duration: 7.5 hours.,Beginner Level,7.5 hours,122,2,https://www.udemy.com/understanding-the-stock-market-a-beginners-course/,[]
1069,CFA Level 1 2014 FI,Udemy,Business Finance,Course: CFA Level 1 2014 FI. Category: Business Finance. Level: All Levels. Duration: 4.5 hours.,All Levels,4.5 hours,149,0,https://www.udemy.com/cfa-level-1-fixed-income/,[]
1070,9. Sinking Funds,Udemy,Business Finance,Course: 9. Sinking Funds. Category: Business Finance. Level: All Levels. Duration: 1 hour.,All Levels,1 hour,205,1,https://www.udemy.com/sinking-funds/,[]
1071,Managerial Accounting - The Ultimate Beginner Course!,Udemy,Business Finance,Course: Managerial Accounting - The Ultimate Beginner Course!. Category: Business Finance. Level: Beginner Level. Duration: 11 hours.,Beginner Level,11 hours,11,0,https://www.udemy.com/managerial-accounting-the-ultimate-beginner-course/,[]
1072,Forex Trading for Beginners Vol 1:A Forex Course Made Simple,Udemy,Business Finance,Course: Forex Trading for Beginners Vol 1:A Forex Course Made Simple. Category: Business Finance. Level: Beginner Level. Duration: 1 hour.,Beginner Level,1 hour,3,0,https://www.udemy.com/forex-trading-for-beginners-vol-1a-forex-course-made-simple/,[]
1073,Accounting - Basic Costing,Udemy,Business Finance,Course: Accounting - Basic Costing. Category: Business Finance. Level: Beginner Level. Duration: 3.5 hours.,Beginner Level,3.5 hours,108,2,https://www.udemy.com/basic-costing/,[]
1074,"Double Your Salary With Free, Local, Job Training Courses",Udemy,Business Finance,"Course: Double Your Salary With Free, Local, Job Training Courses. Category: Business Finance. Level: All Levels. Duration: 1 hour.",All Levels,1 hour,8,1,https://www.udemy.com/how-to-search-the-internet-to-get-free-training-education/,[]
1075,Financial Modeling - Facebook Case Study,Udemy,Business Finance,Course: Financial Modeling - Facebook Case Study. Category: Business Finance. Level: All Levels. Duration: 1.5 hours.,All Levels,1.5 hours,9,3,https://www.udemy.com/financial-modeling-facebook-case-study_in_excel/,[]
1076,Understanding Financial Derivatives,Udemy,Business Finance,Course: Understanding Financial Derivatives. Category: Business Finance. Level: Intermediate Level. Duration: 2 hours.,Intermediate Level,2 hours,16,1,https://www.udemy.com/understanding-financial-derivatives/,[]
1077,Forex Basics: Learn how to read and analyze Forex charts,Udemy,Business Finance,Course: Forex Basics: Learn how to read and analyze Forex charts. Category: Business Finance. Level: Beginner Level. Duration: 4.5 hours.,Beginner Level,4.5 hours,11,0,https://www.udemy.com/forex-basics-c/,[]
1078,Forex - Help I cant Trade,Udemy,Business Finance,Course: Forex - Help I cant Trade. Category: Business Finance. Level: All Levels. Duration: 2 hours.,All Levels,2 hours,12,0,https://www.udemy.com/forex-help-i-cant-trade/,[]
1079,Start-up financial modeling for non-finance professionals,Udemy,Business Finance,Course: Start-up financial modeling for non-finance professionals. Category: Business Finance. Level: All Levels. Duration: 4 hours.,All Levels,4 hours,11,0,https://www.udemy.com/start-up-financial-modeling-for-non-finance-professionals/,[]
1080,The Fast Route to a Faster Financial Close,Udemy,Business Finance,Course: The Fast Route to a Faster Financial Close. Category: Business Finance. Level: Intermediate Level. Duration: 1.5 hours.,Intermediate Level,1.5 hours,2,0,https://www.udemy.com/faster-financial-close/,[]
1081,Easy Finance For Startups,Udemy,Business Finance,Course: Easy Finance For Startups. Category: Business Finance. Level: Beginner Level. Duration: 40 mins.,Beginner Level,40 mins,9,4,https://www.udemy.com/easy-finance-for-startups/,[]
1082,"Excel 4 Accounting Bookkeeping - Master Date,Time Text",Udemy,Business Finance,"Course: Excel 4 Accounting Bookkeeping - Master Date,Time Text. Category: Business Finance. Level: All Levels. Duration: 1 hour.",All Levels,1 hour,15,1,https://www.udemy.com/excel-4-accounting-bookkeeping-master-date-time-text/,[]
1083,"Depreciation, Amortization and Depletion",Udemy,Business Finance,"Course: Depreciation, Amortization and Depletion. Category: Business Finance. Level: Intermediate Level. Duration: 1 hour.",Intermediate Level,1 hour,7,1,https://www.udemy.com/depreciation-amor/,[]
1084,Breakeven Analysis and Pricing,Udemy,Business Finance,Course: Breakeven Analysis and Pricing. Category: Business Finance. Level: All Levels. Duration: 1 hour.,All Levels,1 hour,27,2,https://www.udemy.com/breakeven-analysis-and-pricing/,[]
1085,Tally ERP Complete Training in Urdu / Hindi,Udemy,Business Finance,Course: Tally ERP Complete Training in Urdu / Hindi. Category: Business Finance. Level: All Levels. Duration: 5 hours.,All Levels,5 hours,5,2,https://www.udemy.com/tally-erp-complete-training-in-urdu/,[]
1086,Accounting Simplified,Udemy,Business Finance,Course: Accounting Simplified. Category: Business Finance. Level: All Levels. Duration: 8.5 hours.,All Levels,8.5 hours,3,0,https://www.udemy.com/accounting-simplified/,[]
1087,Series 7: Intermediate Options,Udemy,Business Finance,Course: Series 7: Intermediate Options. Category: Business Finance. Level: Intermediate Level. Duration: 1 hour.,Intermediate Level,1 hour,5,0,https://www.udemy.com/series-7-intermediate-options/,[]
1088,Accounting and Business Basics,Udemy,Business Finance,Course: Accounting and Business Basics. Category: Business Finance. Level: All Levels. Duration: 2 hours.,All Levels,2 hours,5,0,https://www.udemy.com/accounting-and-business-basics/,[]
1089,Corso introduttivo al trading profittevole,Udemy,Business Finance,Course: Corso introduttivo al trading profittevole. Category: Business Finance. Level: Beginner Level. Duration: 1 hour.,Beginner Level,1 hour,132,5,https://www.udemy.com/corso-introduttivo-al-trading-profittevole/,[]
1090,Aprende a Ganar Dinero en la Bolsa,Udemy,Business Finance,Course: Aprende a Ganar Dinero en la Bolsa. Category: Business Finance. Level: All Levels. Duration: 4 hours.,All Levels,4 hours,112,5,https://www.udemy.com/aprende-a-ganar-dinero-en-la-bolsa/,[]
1091,Inversión: Fundamentos del Trading para Principiantes,Udemy,Business Finance,Course: Inversión: Fundamentos del Trading para Principiantes. Category: Business Finance. Level: Beginner Level. Duration: 1.5 hours.,Beginner Level,1.5 hours,285,5,https://www.udemy.com/dinero-aprende-trading-y-se-exitoso/,[]
1092,Gana en la Bolsa con Análisis Técnico,Udemy,Business Finance,Course: Gana en la Bolsa con Análisis Técnico. Category: Business Finance. Level: Beginner Level. Duration: 8.5 hours.,Beginner Level,8.5 hours,91,5,https://www.udemy.com/curso-basico-de-interpretacion-de-la-bolsa-mediante-graficos/,[]
1093,Precificação - Calculando valor de venda baseado nos custos,Udemy,Business Finance,Course: Precificação - Calculando valor de venda baseado nos custos. Category: Business Finance. Level: All Levels. Duration: 3 hours.,All Levels,3 hours,32,3,https://www.udemy.com/formacao-de-precos-em-projetos/,[]
1094,Cómo ganar dinero invirtiendo en bolsa,Udemy,Business Finance,Course: Cómo ganar dinero invirtiendo en bolsa. Category: Business Finance. Level: Beginner Level. Duration: 2 hours.,Beginner Level,2 hours,2740,5,https://www.udemy.com/como-ganar-dinero-invirtiendo-en-bolsa/,[]
1095,Investiere in Tax Liens-Hohe Zinsen gesetzl. festgeschrieben,Udemy,Business Finance,Course: Investiere in Tax Liens-Hohe Zinsen gesetzl. festgeschrieben. Category: Business Finance. Level: All Levels. Duration: 1.5 hours.,All Levels,1.5 hours,59,5,https://www.udemy.com/investiere-online-und-erhalte-zinsen-von-25-in-dollar/,[]
1096,Investimento em Ações,Udemy,Business Finance,Course: Investimento em Ações. Category: Business Finance. Level: Beginner Level. Duration: 4.5 hours.,Beginner Level,4.5 hours,16,4,https://www.udemy.com/investimento-em-acoes/,[]
1097,Excelを使ってビジネスシミュレーション 基礎編,Udemy,Business Finance,Course: Excelを使ってビジネスシミュレーション 基礎編. Category: Business Finance. Level: Beginner Level. Duration: 5 hours.,Beginner Level,5 hours,22,5,https://www.udemy.com/excel-zw/,[]
1098,Estrategias de trading en bolsa,Udemy,Business Finance,Course: Estrategias de trading en bolsa. Category: Business Finance. Level: All Levels. Duration: 2 hours.,All Levels,2 hours,15,2,https://www.udemy.com/diferentes-opciones-de-trading-en-bolsa/,[]
1099,Grundlagen der finanziellen Unabhängigkeit,Udemy,Business Finance,Course: Grundlagen der finanziellen Unabhängigkeit. Category: Business Finance. Level: All Levels. Duration: 1.5 hours.,All Levels,1.5 hours,1059,5,https://www.udemy.com/grundlagen-der-finanziellen-unabhangigkeit/,[]
1100,"Wie Du, Dir auch mit kleinen Beträgen ein Vermögen aufbaust",Udemy,Business Finance,"Course: Wie Du, Dir auch mit kleinen Beträgen ein Vermögen aufbaust. Category: Business Finance. Level: All Levels. Duration: 7 hours.",All Levels,7 hours,187,3,https://www.udemy.com/wie-du-dir-auch-mit-kleinen-betragen-ein-vermogen-aufbaust/,[]
1101,Corporate Ethics,Udemy,Business Finance,Course: Corporate Ethics. Category: Business Finance. Level: Beginner Level. Duration: 3.5 hours.,Beginner Level,3.5 hours,0,0,https://www.udemy.com/corporate-ethics/,[]
1102,Core Financial Statement Concepts,Udemy,Business Finance,Course: Core Financial Statement Concepts. Category: Business Finance. Level: Intermediate Level. Duration: 1.5 hours.,Intermediate Level,1.5 hours,0,0,https://www.udemy.com/financial-statement-concepts/,[]
1103,Understand Core Finance Principles in 60 Minutes,Udemy,Business Finance,Course: Understand Core Finance Principles in 60 Minutes. Category: Business Finance. Level: Beginner Level. Duration: 2.5 hours.,Beginner Level,2.5 hours,0,0,https://www.udemy.com/core-finance-principles-in-60-minutes/,[]
1104,Learn Wave accounting to maintain books properly,Udemy,Business Finance,Course: Learn Wave accounting to maintain books properly. Category: Business Finance. Level: All Levels. Duration: 3 hours.,All Levels,3 hours,1089,5,https://www.udemy.com/learn-wave-accounting-to-maintain-books-properly/,[]
1105,Making Tax Digital - UK HMRC Legislation Explained,Udemy,Business Finance,Course: Making Tax Digital - UK HMRC Legislation Explained. Category: Business Finance. Level: All Levels. Duration: 1 hour.,All Levels,1 hour,743,0,https://www.udemy.com/making-tax-digital/,[]
1106,Surviving Introduction to Finance,Udemy,Business Finance,Course: Surviving Introduction to Finance. Category: Business Finance. Level: Beginner Level. Duration: 3 hours.,Beginner Level,3 hours,1362,5,https://www.udemy.com/surviving-introduction-to-finance/,[]
1107,Cost of Capital and Weighted Average Cost of Capital,Udemy,Business Finance,Course: Cost of Capital and Weighted Average Cost of Capital. Category: Business Finance. Level: All Levels. Duration: 1 hour.,All Levels,1 hour,405,3,https://www.udemy.com/weighted-average-cost-of-capital-wacc/,[]
1108,Studying the CFA Program exams (Mandarin language version),Udemy,Business Finance,Course: Studying the CFA Program exams (Mandarin language version). Category: Business Finance. Level: All Levels. Duration: 40 mins.,All Levels,40 mins,1168,5,https://www.udemy.com/studying-the-cfa-mandarin/,[]
1109,Condor Broken Wing Butterfly Options Trading Course System,Udemy,Business Finance,Course: Condor Broken Wing Butterfly Options Trading Course System. Category: Business Finance. Level: All Levels. Duration: 1.5 hours.,All Levels,1.5 hours,16,0,https://www.udemy.com/condor-broken-wing-butterfly-options-trading-course-system/,[]
1110,虎の巻 証券取引の 税金のお悩み 解消,Udemy,Business Finance,Course: 虎の巻 証券取引の 税金のお悩み 解消. Category: Business Finance. Level: Intermediate Level. Duration: 1.5 hours.,Intermediate Level,1.5 hours,3840,5,https://www.udemy.com/kabucom_zeise/,[]
1111,１日でマスター 今日からはじめる資産形成,Udemy,Business Finance,Course: １日でマスター 今日からはじめる資産形成. Category: Business Finance. Level: Beginner Level. Duration: 1 hour.,Beginner Level,1 hour,7183,5,https://www.udemy.com/kabucom_start/,[]
1112,TRADING FOR A LIVING: Trading Full-Time Transition Guide,Udemy,Business Finance,Course: TRADING FOR A LIVING: Trading Full-Time Transition Guide. Category: Business Finance. Level: Intermediate Level. Duration: 3.5 hours.,Intermediate Level,3.5 hours,483,5,https://www.udemy.com/trading-for-a-living-full-time-trader/,[]
1113,Learn How To use Channels to find amazing Forex Entries,Udemy,Business Finance,Course: Learn How To use Channels to find amazing Forex Entries. Category: Business Finance. Level: All Levels. Duration: 1 hour.,All Levels,1 hour,172,5,https://www.udemy.com/learn-how-to-use-channels-to-find-amazing-forex-entries/,[]
1114,"Financial Analysis, from Scratch to Professional!",Udemy,Business Finance,"Course: Financial Analysis, from Scratch to Professional!. Category: Business Finance. Level: Beginner Level. Duration: 3.5 hours.",Beginner Level,3.5 hours,256,5,https://www.udemy.com/financial-analysis-from-scratch-to-professional-level/,[]
1115,Cost Accounting Labour Costing (Professional Course Level),Udemy,Business Finance,Course: Cost Accounting Labour Costing (Professional Course Level). Category: Business Finance. Level: All Levels. Duration: 2 hours.,All Levels,2 hours,1542,1,https://www.udemy.com/labour-costing/,[]
1116,Learn How To Successfully Trade Forex: In 5 Simple Steps,Udemy,Business Finance,Course: Learn How To Successfully Trade Forex: In 5 Simple Steps. Category: Business Finance. Level: All Levels. Duration: 8.5 hours.,All Levels,8.5 hours,64,5,https://www.udemy.com/learn-how-to-successfully-trade-forex-in-5-simple-steps/,[]
1117,The Intelligent Investor,Udemy,Business Finance,Course: The Intelligent Investor. Category: Business Finance. Level: All Levels. Duration: 10.5 hours.,All Levels,10.5 hours,384,5,https://www.udemy.com/the-intelligent-investor/,[]
1118,Succeed in Futures Even if You Don't Know Where to Start,Udemy,Business Finance,Course: Succeed in Futures Even if You Don't Know Where to Start. Category: Business Finance. Level: All Levels. Duration: 1 hour.,All Levels,1 hour,3014,5,https://www.udemy.com/succeed-in-futures-even-if-you-dont-know-where-to-start/,[]
1119,Binary Options Beginners Guide : Nadex,Udemy,Business Finance,Course: Binary Options Beginners Guide : Nadex. Category: Business Finance. Level: Beginner Level. Duration: 2 hours.,Beginner Level,2 hours,454,5,https://www.udemy.com/binary-options/,[]
1120,Trading: From Wall Street to Your Street,Udemy,Business Finance,Course: Trading: From Wall Street to Your Street. Category: Business Finance. Level: Intermediate Level. Duration: 5.5 hours.,Intermediate Level,5.5 hours,312,5,https://www.udemy.com/from-wall-street-to-your-street/,[]
1121,Build your own Naked Trading Forex Robot,Udemy,Business Finance,Course: Build your own Naked Trading Forex Robot. Category: Business Finance. Level: All Levels. Duration: 2 hours.,All Levels,2 hours,315,5,https://www.udemy.com/build-your-own-naked-trading-forex-robot/,[]
1122,Tax Preparation: Learn Fast! Prepare Taxes with Confidence!,Udemy,Business Finance,Course: Tax Preparation: Learn Fast! Prepare Taxes with Confidence!. Category: Business Finance. Level: All Levels. Duration: 2.5 hours.,All Levels,2.5 hours,609,5,https://www.udemy.com/taxpreparation/,[]
1123,Tax Strategies of the Wealthy,Udemy,Business Finance,Course: Tax Strategies of the Wealthy. Category: Business Finance. Level: Beginner Level. Duration: 1.5 hours.,Beginner Level,1.5 hours,207,5,https://www.udemy.com/everything-you-need-to-know-about-taxes/,[]
1124,The Ultimate Fibonacci Trading Plan for Forex and Stocks,Udemy,Business Finance,Course: The Ultimate Fibonacci Trading Plan for Forex and Stocks. Category: Business Finance. Level: All Levels. Duration: 1 hour.,All Levels,1 hour,399,5,https://www.udemy.com/fibonacci-trading-strategy/,[]
1125,Finance and Accounting for Startups,Udemy,Business Finance,Course: Finance and Accounting for Startups. Category: Business Finance. Level: All Levels. Duration: 12.5 hours.,All Levels,12.5 hours,1175,5,https://www.udemy.com/finance-and-accounting-for-startups/,[]
1126,Forex - Calculate Lot Size Like Pro,Udemy,Business Finance,Course: Forex - Calculate Lot Size Like Pro. Category: Business Finance. Level: All Levels. Duration: 36 mins.,All Levels,36 mins,543,5,https://www.udemy.com/forex-calculate-lot-size-like-pro/,[]
1127,The Complete Forex Trader,Udemy,Business Finance,Course: The Complete Forex Trader. Category: Business Finance. Level: All Levels. Duration: 7 hours.,All Levels,7 hours,1634,5,https://www.udemy.com/forextrader/,[]
1128,Tape Reading: Learn how to read the tape for day trading,Udemy,Business Finance,Course: Tape Reading: Learn how to read the tape for day trading. Category: Business Finance. Level: All Levels. Duration: 14 hours.,All Levels,14 hours,1013,5,https://www.udemy.com/tape-reading-101-learn-how-to-read-the-tape-for-day-trading/,[]
1129,4 Easy Daily Forex Trades: A Recipe for Trading Success,Udemy,Business Finance,Course: 4 Easy Daily Forex Trades: A Recipe for Trading Success. Category: Business Finance. Level: All Levels. Duration: 1 hour.,All Levels,1 hour,319,5,https://www.udemy.com/4dailytrades/,[]
1130,Trading Robot Forex Programs in Your Sleep in Live Examples!,Udemy,Business Finance,Course: Trading Robot Forex Programs in Your Sleep in Live Examples!. Category: Business Finance. Level: Expert Level. Duration: 1.5 hours.,Expert Level,1.5 hours,1125,5,https://www.udemy.com/trading-robot-forex-programs-in-your-sleep-in-live-examples/,[]
1131,Free Options 101 - Basic of Call and Put Options in 1 Hours,Udemy,Business Finance,Course: Free Options 101 - Basic of Call and Put Options in 1 Hours. Category: Business Finance. Level: All Levels. Duration: 1.5 hours.,All Levels,1.5 hours,2481,5,https://www.udemy.com/free-options-101-basic-of-call-and-put-options-in-1-hours/,[]
1132,An Intro into Trading the Financial Markets,Udemy,Business Finance,Course: An Intro into Trading the Financial Markets. Category: Business Finance. Level: Beginner Level. Duration: 1.5 hours.,Beginner Level,1.5 hours,1006,5,https://www.udemy.com/an-intro-into-trading-the-financial-markets/,[]
1133,Developing A Trading Strategy: Your Guide to Trading Success,Udemy,Business Finance,Course: Developing A Trading Strategy: Your Guide to Trading Success. Category: Business Finance. Level: All Levels. Duration: 2 hours.,All Levels,2 hours,1044,5,https://www.udemy.com/developing-a-trading-strategy-your-guide-to-making-millions/,[]
1134,How to Trade Commodity and Financial Futures for a Living!,Udemy,Business Finance,Course: How to Trade Commodity and Financial Futures for a Living!. Category: Business Finance. Level: All Levels. Duration: 2.5 hours.,All Levels,2.5 hours,1240,5,https://www.udemy.com/trading-controlled-leverage-financial-and-commodity-futures/,[]
1135,How to Trade Forex like a Hedge Fund: Long FX Strategies,Udemy,Business Finance,Course: How to Trade Forex like a Hedge Fund: Long FX Strategies. Category: Business Finance. Level: All Levels. Duration: 1.5 hours.,All Levels,1.5 hours,504,5,https://www.udemy.com/how-to-trade-forex-like-a-hedge-fund/,[]
1136,Complete Short Financial Ratio Course for Financial Analysis,Udemy,Business Finance,Course: Complete Short Financial Ratio Course for Financial Analysis. Category: Business Finance. Level: All Levels. Duration: 3 hours.,All Levels,3 hours,15,1,https://www.udemy.com/financialratio/,[]
1137,How to Build Profitable FOREX Automated Trading Strategies!,Udemy,Business Finance,Course: How to Build Profitable FOREX Automated Trading Strategies!. Category: Business Finance. Level: All Levels. Duration: 2.5 hours.,All Levels,2.5 hours,358,5,https://www.udemy.com/how-to-build-profitable-automated-trading-strategies/,[]
1138,Stock Trading Strategies: Profitable Trading in 7 Days.,Udemy,Business Finance,Course: Stock Trading Strategies: Profitable Trading in 7 Days.. Category: Business Finance. Level: All Levels. Duration: 5.5 hours.,All Levels,5.5 hours,80,5,https://www.udemy.com/stock-trading-strategies-the-trading-plan-formula/,[]
1139,Management Accounting A Complete Study,Udemy,Business Finance,Course: Management Accounting A Complete Study. Category: Business Finance. Level: All Levels. Duration: 17.5 hours.,All Levels,17.5 hours,133,3,https://www.udemy.com/management-accounting-a-complete-study/,[]
1140,Become a Career Day Trader: Asian-Pacific Futures Markets,Udemy,Business Finance,Course: Become a Career Day Trader: Asian-Pacific Futures Markets. Category: Business Finance. Level: All Levels. Duration: 3.5 hours.,All Levels,3.5 hours,207,5,https://www.udemy.com/become-a-career-day-trader/,[]
1141,Equity Products,Udemy,Business Finance,Course: Equity Products. Category: Business Finance. Level: All Levels. Duration: 2.5 hours.,All Levels,2.5 hours,426,5,https://www.udemy.com/equity-products/,[]
1142,Financial Accounting Part I - Passing the Class,Udemy,Business Finance,Course: Financial Accounting Part I - Passing the Class. Category: Business Finance. Level: Beginner Level. Duration: 4.5 hours.,Beginner Level,4.5 hours,45,5,https://www.udemy.com/severson-financial-accounting-part-one/,[]
1143,Accounting 102: Guide to Business Accounting,Udemy,Business Finance,Course: Accounting 102: Guide to Business Accounting. Category: Business Finance. Level: Intermediate Level. Duration: 8.5 hours.,Intermediate Level,8.5 hours,1280,1,https://www.udemy.com/accounting-skills-a-businessman-must-haveintermediate-level/,[]
1144,Monetizing Your Website: How to Add Cost-Per-Action (CPA),Udemy,Business Finance,Course: Monetizing Your Website: How to Add Cost-Per-Action (CPA). Category: Business Finance. Level: All Levels. Duration: 1 hour.,All Levels,1 hour,142,4,https://www.udemy.com/monetizing-your-website-how-to-add-cost-per-action-cpa/,[]
1145,Advanced Finance and Accounting for Startups,Udemy,Business Finance,Course: Advanced Finance and Accounting for Startups. Category: Business Finance. Level: Intermediate Level. Duration: 6.5 hours.,Intermediate Level,6.5 hours,188,5,https://www.udemy.com/advanced-finance-and-accounting-for-startups/,[]
1146,Basics of Tax in India (College Level),Udemy,Business Finance,Course: Basics of Tax in India (College Level). Category: Business Finance. Level: All Levels. Duration: 2 hours.,All Levels,2 hours,718,5,https://www.udemy.com/basics-of-indian-income-tax/,[]
1147,Trade for a Living,Udemy,Business Finance,Course: Trade for a Living. Category: Business Finance. Level: All Levels. Duration: 8 hours.,All Levels,8 hours,293,5,https://www.udemy.com/trade-for-a-living/,[]
1148,Learn Stock Options: Options Made Simple 101,Udemy,Business Finance,Course: Learn Stock Options: Options Made Simple 101. Category: Business Finance. Level: Beginner Level. Duration: 5 hours.,Beginner Level,5 hours,93,5,https://www.udemy.com/learn-to-trade-stock-options-options-made-simple/,[]
1149,Banking Credit Analysis Process (for Bankers),Udemy,Business Finance,Course: Banking Credit Analysis Process (for Bankers). Category: Business Finance. Level: Beginner Level. Duration: 17.5 hours.,Beginner Level,17.5 hours,894,5,https://www.udemy.com/credit-analysis-process/,[]
1150,Professional Forex strategy,Udemy,Business Finance,Course: Professional Forex strategy. Category: Business Finance. Level: Expert Level. Duration: 1.5 hours.,Expert Level,1.5 hours,353,5,https://www.udemy.com/beginner-trading-forex-strategy/,[]
1151,A Beginners Guide to Technical Analysis of Stock Charts,Udemy,Business Finance,Course: A Beginners Guide to Technical Analysis of Stock Charts. Category: Business Finance. Level: Beginner Level. Duration: 8.5 hours.,Beginner Level,8.5 hours,829,5,https://www.udemy.com/beginners-guide-to-technical-analysis/,[]
1152,Get out of Debt - The Power of Using Compounding Interest,Udemy,Business Finance,Course: Get out of Debt - The Power of Using Compounding Interest. Category: Business Finance. Level: All Levels. Duration: 2 hours.,All Levels,2 hours,1195,3,https://www.udemy.com/get-out-of-debt-the-power-of-using-compounding-interest/,[]
1153,Day Trading - Learn to Day Trade / Swing Trade In One Hour.,Udemy,Business Finance,Course: Day Trading - Learn to Day Trade / Swing Trade In One Hour.. Category: Business Finance. Level: All Levels. Duration: 1.5 hours.,All Levels,1.5 hours,335,5,https://www.udemy.com/the-123-trading-strategy-learn-to-trade-in-one-hour/,[]
1154,Basel Norms (Basel 1/ Basel 2/ Basel 3) Simplified,Udemy,Business Finance,Course: Basel Norms (Basel 1/ Basel 2/ Basel 3) Simplified. Category: Business Finance. Level: Beginner Level. Duration: 4 hours.,Beginner Level,4 hours,500,5,https://www.udemy.com/basel_norms_simplified/,[]
1155,Learn to Trade Forex Naked Price Action Wammie Trade,Udemy,Business Finance,Course: Learn to Trade Forex Naked Price Action Wammie Trade. Category: Business Finance. Level: All Levels. Duration: 1 hour.,All Levels,1 hour,159,5,https://www.udemy.com/learn-to-trade-forex-naked-price-action-wammie-trade/,[]
1156,Fixed Income Securities,Udemy,Business Finance,Course: Fixed Income Securities. Category: Business Finance. Level: All Levels. Duration: 4.5 hours.,All Levels,4.5 hours,739,5,https://www.udemy.com/fixed-income-securities/,[]
1157,Financial Accounting Made Easy for All,Udemy,Business Finance,Course: Financial Accounting Made Easy for All. Category: Business Finance. Level: All Levels. Duration: 4 hours.,All Levels,4 hours,87,5,https://www.udemy.com/financialaccounting/,[]
1158,Ultimate Guide To Trading Engulfing Candlestick Strategy,Udemy,Business Finance,Course: Ultimate Guide To Trading Engulfing Candlestick Strategy. Category: Business Finance. Level: All Levels. Duration: 2.5 hours.,All Levels,2.5 hours,185,5,https://www.udemy.com/trading-engulfing-candle-top-trend-continuation-strategy/,[]
1159,Learn Business Finance: Win more work as a Business Coach,Udemy,Business Finance,Course: Learn Business Finance: Win more work as a Business Coach. Category: Business Finance. Level: Beginner Level. Duration: 2 hours.,Beginner Level,2 hours,741,4,https://www.udemy.com/essential-business-finance-for-coaches-and-consultants/,[]
1160,Accounting for Depreciation (Collage Level),Udemy,Business Finance,Course: Accounting for Depreciation (Collage Level). Category: Business Finance. Level: All Levels. Duration: 1 hour.,All Levels,1 hour,576,1,https://www.udemy.com/depreciation-accounting/,[]
1161,Revealed: Profitable Principles of Successful Traders,Udemy,Business Finance,Course: Revealed: Profitable Principles of Successful Traders. Category: Business Finance. Level: All Levels. Duration: 3 hours.,All Levels,3 hours,1046,5,https://www.udemy.com/revealed-profitable-secrets-of-successful-traders/,[]
1162,Easy Market Profits: 3 Step Stock Investing Strategy,Udemy,Business Finance,Course: Easy Market Profits: 3 Step Stock Investing Strategy. Category: Business Finance. Level: Beginner Level. Duration: 3 hours.,Beginner Level,3 hours,486,3,https://www.udemy.com/make-money-from-the-stock-market/,[]
1163,Hedge Fund Trading Systems For Stocks - Part One,Udemy,Business Finance,Course: Hedge Fund Trading Systems For Stocks - Part One. Category: Business Finance. Level: All Levels. Duration: 1.5 hours.,All Levels,1.5 hours,52,5,https://www.udemy.com/amibroker-trading-systems/,[]
1164,Bonds For Beginners - A Guide To The Bond Markets,Udemy,Business Finance,Course: Bonds For Beginners - A Guide To The Bond Markets. Category: Business Finance. Level: Beginner Level. Duration: 34 mins.,Beginner Level,34 mins,106,5,https://www.udemy.com/bonds-for-beginners-a-guide-to-fixed-income-investments/,[]
1165,Professional Risk Manager (PRM) Certification: Level 4,Udemy,Business Finance,Course: Professional Risk Manager (PRM) Certification: Level 4. Category: Business Finance. Level: All Levels. Duration: 8 hours.,All Levels,8 hours,38,5,https://www.udemy.com/professional-risk-manager-prm-certification-level-4/,[]
1166,Crowdfunding for Filmmakers,Udemy,Business Finance,Course: Crowdfunding for Filmmakers. Category: Business Finance. Level: All Levels. Duration: 4 hours.,All Levels,4 hours,32,5,https://www.udemy.com/crowdfunding-for-filmmakers/,[]
1167,How to Make IT Work Successfully in Capital Markets,Udemy,Business Finance,Course: How to Make IT Work Successfully in Capital Markets. Category: Business Finance. Level: Beginner Level. Duration: 3 hours.,Beginner Level,3 hours,171,5,https://www.udemy.com/how-to-make-it-work-successfully-in-capital-markets/,[]
1168,Introduction to Day Trading,Udemy,Business Finance,Course: Introduction to Day Trading. Category: Business Finance. Level: Beginner Level. Duration: 1 hour.,Beginner Level,1 hour,79,5,https://www.udemy.com/introduction-to-day-trading/,[]
1169,Life Coach Business Basics: Finance and Operations,Udemy,Business Finance,Course: Life Coach Business Basics: Finance and Operations. Category: Business Finance. Level: All Levels. Duration: 3.5 hours.,All Levels,3.5 hours,397,4,https://www.udemy.com/how-to-run-a-business-business-finance-operations/,[]
1170,Learn How to Profit In Forex With Market Rhythms,Udemy,Business Finance,Course: Learn How to Profit In Forex With Market Rhythms. Category: Business Finance. Level: All Levels. Duration: 1.5 hours.,All Levels,1.5 hours,85,5,https://www.udemy.com/learn-how-to-profit-with-market-rhythms/,[]
1171,Optimizing investment to maximise your return,Udemy,Business Finance,Course: Optimizing investment to maximise your return. Category: Business Finance. Level: All Levels. Duration: 38 mins.,All Levels,38 mins,1696,5,https://www.udemy.com/optimizing-investment-to-maximise-your-return/,[]
